FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,1,LEO,,None None,1,False,False,False,,1,0,B0003,,
2,2012-05-22,Falcon 9,2,LEO,,None None,1,False,False,False,,1,0,B0005,,
3,2013-03-01,Falcon 9,3,ISS,,None None,1,False,False,False,,1,0,B0007,,
4,2013-09-29,Falcon 9,4,PO,,False Ocean,1,False,False,False,,1,0,B1003,,
5,2013-12-03,Falcon 9,5,GTO,,None None,1,False,False,False,,1,0,B1004,,
6,2014-01-06,Falcon 9,6,GTO,,None None,1,False,False,False,,1,0,B1005,,
7,2014-04-18,Falcon 9,7,ISS,,True Ocean,1,False,False,True,,1,0,B1006,,
8,2014-07-14,Falcon 9,8,LEO,,True Ocean,1,False,False,True,,1,0,B1007,,
9,2014-08-05,Falcon 9,9,GTO,,None None,1,False,False,False,,1,0,B1008,,
10,2014-09-07,Falcon 9,10,GTO,,None None,1,False,False,False,,1,0,B1011,,
11,2014-09-21,Falcon 9,11,ISS,,False Ocean,1,False,False,False,,1,0,B1010,,
12,2015-01-10,Falcon 9,12,ISS,,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1012,,
13,2015-02-11,Falcon 9,13,ES-L1,,True Ocean,1,True,False,True,,1,0,B1013,,
14,2015-04-14,Falcon 9,14,ISS,,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1015,,
15,2015-04-27,Falcon 9,15,GTO,,None None,1,False,False,False,,1,0,B1016,,
16,2015-06-28,Falcon 9,16,ISS,,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1018,,
17,2015-12-22,Falcon 9,17,LEO,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,B1019,,
18,2016-01-17,Falcon 9,18,PO,,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,B1017,,
19,2016-03-04,Falcon 9,19,GTO,,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1020,,
20,2016-04-08,Falcon 9,20,ISS,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,,
21,2016-05-06,Falcon 9,21,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1022,,
22,2016-05-27,Falcon 9,22,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1023,,
23,2016-07-18,Falcon 9,23,ISS,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2,1,B1025,,
24,2016-08-14,Falcon 9,24,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1026,,
25,2016-09-01,Falcon 9,25,GTO,,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1028,,
26,2017-01-14,Falcon 9,26,PO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1029,,
27,2017-02-19,Falcon 9,27,ISS,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1031,,
28,2017-03-16,Falcon 9,28,GTO,,None None,1,False,False,False,,3,0,B1030,,
29,2017-03-30,Falcon 9,29,GTO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,,
30,2017-05-01,Falcon 9,30,LEO,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1032,,
31,2017-05-15,Falcon 9,31,GTO,,None None,1,False,False,False,,3,0,B1034,,
32,2017-06-03,Falcon 9,32,ISS,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1035,,
33,2017-06-23,Falcon 9,33,GTO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1029,,
34,2017-06-25,Falcon 9,34,PO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1036,,
35,2017-07-05,Falcon 9,35,GTO,,None None,1,False,False,False,,3,0,B1037,,
36,2017-08-14,Falcon 9,36,ISS,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1039,,
37,2017-08-24,Falcon 9,37,SSO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1038,,
38,2017-09-07,Falcon 9,38,LEO,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1040,,
39,2017-10-09,Falcon 9,39,PO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4,1,B1041,,
40,2017-10-11,Falcon 9,40,GTO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1031,,
41,2017-10-30,Falcon 9,41,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,0,B1042,,
42,2017-12-15,Falcon 9,42,ISS,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1035,,
43,2017-12-23,Falcon 9,43,PO,,True Ocean,2,True,True,False,,3,1,B1036,,
44,2018-01-08,Falcon 9,44,LEO,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1043,,
45,2018-01-31,Falcon 9,45,GTO,,True Ocean,2,True,True,True,,3,1,B1032,,
46,2018-03-06,Falcon 9,46,GTO,,None None,1,True,False,True,,4,0,B1044,,
47,2018-03-30,Falcon 9,47,PO,,None None,2,True,True,True,,4,1,B1041,,
48,2018-04-02,Falcon 9,48,ISS,,None None,2,True,True,True,,4,1,B1039,,
49,2018-04-18,Falcon 9,49,HEO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,1,B1045,,
50,2018-05-11,Falcon 9,50,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,,
51,2018-06-04,Falcon 9,51,GTO,,None None,2,False,True,False,,4,1,B1040,,
52,2018-06-29,Falcon 9,52,ISS,,None None,2,False,True,False,,4,1,B1045,,
53,2018-07-22,Falcon 9,53,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,,
54,2018-07-25,Falcon 9,54,PO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,4,B1048,,
55,2018-08-07,Falcon 9,55,GTO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,,
56,2018-09-10,Falcon 9,56,GTO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,,
57,2018-10-08,Falcon 9,57,SSO,,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,4,B1048,,
58,2018-11-15,Falcon 9,58,GTO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,,
59,2018-12-03,Falcon 9,59,SSO,,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,3,B1046,,
60,2018-12-05,Falcon 9,60,ISS,,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5,0,B1050,,
61,2018-12-23,Falcon 9,61,MEO,,None None,1,False,False,False,,5,0,B1054,,
62,2019-01-11,Falcon 9,62,PO,,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,,
63,2019-03-02,Falcon 9,63,ISS,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,10,B1051,,
64,2019-05-04,Falcon 9,64,ISS,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,,
65,2019-05-24,Falcon 9,65,VLEO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,,
66,2019-06-12,Falcon 9,66,SSO,,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,10,B1051,,
67,2019-07-25,Falcon 9,67,ISS,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,3,B1056,,
68,2019-08-06,Falcon 9,68,GTO,,None None,3,False,True,False,,5,2,B1047,,
69,2019-11-11,Falcon 9,69,VLEO,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,,
70,2019-12-05,Falcon 9,70,ISS,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,,
71,2019-12-17,Falcon 9,71,GTO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,,
72,2020-01-07,Falcon 9,72,VLEO,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,,
73,2020-01-19,Falcon 9,73,SO,,None None,4,False,True,False,,5,3,B1046,,
74,2020-01-29,Falcon 9,74,VLEO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,10,B1051,,
75,2020-02-17,Falcon 9,75,VLEO,,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,,
76,2020-03-07,Falcon 9,76,ISS,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,,
77,2020-03-18,Falcon 9,77,VLEO,,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,,
78,2020-04-22,Falcon 9,78,VLEO,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,10,B1051,,
79,2020-05-30,Falcon 9,79,ISS,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,10,B1058,,
80,2020-06-04,Falcon 9,80,VLEO,,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,,
81,2020-06-13,Falcon 9,81,VLEO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,,
82,2020-06-30,Falcon 9,82,MEO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,9,B1060,,
83,2020-07-20,Falcon 9,83,GEO,,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,10,B1058,,
84,2020-08-18,Falcon 9,84,VLEO,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,,
85,2020-08-30,Falcon 9,85,SSO,,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,,
86,2020-09-03,Falcon 9,86,VLEO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1060,,
87,2020-10-06,Falcon 9,87,VLEO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,10,B1058,,
88,2020-10-18,Falcon 9,88,VLEO,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,10,B1051,,
89,2020-10-24,Falcon 9,89,VLEO,,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1060,,
90,2020-11-05,Falcon 9,90,MEO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1062,,
